Strain Name,plate384,Well384,Gene name,gene discription,Accession Number,Row384,Column384
NE40,1,G7,,conserved hypothetical protein,SAUSA300_1174,G,7
NE41,1,G9,,cation transport family protein,SAUSA300_1979,G,9
NE42,1,G11,,conserved hypothetical protein,SAUSA300_2212,G,11
NE43,1,G13,ureF,urease accessory protein UreF,SAUSA300_2242,G,13
NE44,1,G15,brnQ,branched-chain amino acid transport system II carrier protein,SAUSA300_1300,G,15
NE45,1,G17,,accessory secretory protein Asp1,SAUSA300_2587,G,17
NE46,1,G19,,"phi77 ORF001-like protein, phage tail tape measure protein",SAUSA300_1930,G,19
NE47,1,G21,,"phiSLT ORF2067-like protein, phage tail tape measure protein",SAUSA300_1393,G,21
NE48,1,G23,,"maltose ABC transporter, permease protein",SAUSA300_0210,G,23
NE49,1,I1,,"DNA-binding response regulator, AraC family",SAUSA300_0217,I,1
NE50,1,I3,,conserved hypothetical protein,SAUSA300_0935,I,3
NE51,1,I5,,conserved hypothetical protein,SAUSA300_1707,I,5
NE52,1,I7,,conserved hypothetical protein,SAUSA300_2394,I,7
NE53,1,I9,,conserved hypothetical protein,SAUSA300_2421,I,9
NE54,1,I11,,"ABC transporter, ATP-binding/permease protein",SAUSA300_2375,I,11
NE55,1,I13,,putative membrane protein,SAUSA300_0319,I,13
NE56,1,I15,,cell wall surface anchor family protein,SAUSA300_1702,I,15
NE57,1,I17,,"acetyltransferase, GNAT family",SAUSA300_0771,I,17
NE58,1,I19,nrdD,"anaerobic ribonucleotide reductase, large subunit",SAUSA300_2551,I,19
NE59,1,I21,,exotoxin,SAUSA300_0404,I,21
NE60,1,I23,metB,cystathionine gamma-synthase,SAUSA300_0434,I,23
NE61,1,K1,lacE,"PTS system, lactose-specific IIBC componen",SAUSA300_2150,K,1
NE62,1,K3,,Toprim domain protein,SAUSA300_0794,K,3
NE63,1,K5,,alpha glucosidase,SAUSA300_1456,K,5
NE64,1,K7,hemG,protoporphyrinogen oxidase,SAUSA300_1781,K,7
NE65,1,K9,,conserved hypothetical protein,SAUSA300_0233,K,9
NE66,1,K11,,"preprotein translocase, secA protein",SAUSA300_2584,K,11
NE67,1,K13,isaB,immunodominant antigen B,SAUSA300_2573,K,13
NE68,1,K15,,ABC transporter ATP-binding protein,SAUSA300_0620,K,15
NE69,1,K17,,conserved hypothetical protein,SAUSA300_1771,K,17
NE70,1,K19,,"ABC transporter, permease protein",SAUSA300_0648,K,19
NE71,1,K21,,putative membrane protein,SAUSA300_0640,K,21
NE72,1,K23,,acyltransferase,SAUSA300_2504,K,23
NE73,1,M1,,putative lipoprotein,SAUSA300_2354,M,1
NE74,1,M3,,5-nucleotidase family protein,SAUSA300_0828,M,3
NE75,1,M5,cap1B,capsular polysaccharide biosynthesis protein Cap1B,SAUSA300_2597,M,5
NE76,1,M7,leuB,3-isopropylmalate dehydrogenase,SAUSA300_2011,M,7
NE77,1,M9,,conserved hypothetical protein,SAUSA300_0465,M,9
NE78,1,M11,,"transcriptional regulator, AraC family",SAUSA300_0104,M,11
NE79,1,M13,,conserved hypothetical protein,SAUSA300_2148,M,13
NE80,1,M15,mutL,DNA mismatch repair protein mutL,SAUSA300_1189,M,15
NE81,1,M17,galM,aldose 1-epimerase,SAUSA300_2285,M,17
NE82,1,M19,,putative membrane protein,SAUSA300_2472,M,19
NE83,1,M21,,"acetyltransferase, GNAT family",SAUSA300_1980,M,21
NE84,1,M23,uvrB,"excinuclease ABC, B subunit",SAUSA300_0741,M,23
NE85,1,O1,lacG,6-phospho-beta-galactosidase,SAUSA300_2149,O,1
NE86,1,O3,,conserved hypothetical protein,SAUSA300_2085,O,3
NE87,1,O5,,conserved hypothetical protein,SAUSA300_1523,O,5
NE88,1,O7,,HNH endonuclease family protein,SAUSA300_0045,O,7
NE89,1,O9,,conserved hypothetical protein,SAUSA300_0128,O,9
NE90,1,O11,msrA,methionine-S-sulfoxide reductase,SAUSA300_1317,O,11
NE91,1,O13,kdpA,"K+-transporting ATPase, A subunit",SAUSA300_2034,O,13
NE92,1,O15,qoxA,"quinol oxidase, subunit II",SAUSA300_0963,O,15
NE93,1,O17,,similar to DNA mismatch repair protein,SAUSA300_2001,O,17
NE94,1,O19,,conserved hypothetical protein,SAUSA300_1802,O,19
NE95,1,O21,agrB,accessory gene regulator protein B,SAUSA300_1989,O,21
NE96,1,O23,sarU,staphylococcal accessory regulator U,SAUSA300_2438,O,23
NE97,1,B1,,UTP-glucose-1-phosphate uridylyltransferase family protein,SAUSA300_2130,B,1
NE98,1,B3,,sdrE protein,SAUSA300_0548,B,3
NE99,1,B5,,"transcriptional regulator, Fur family",SAUSA300_1448,B,5
NE100,1,B7,,FtsK/SpoIIIE family protein,SAUSA300_1482,B,7
NE101,1,B9,,2-C-methyl-D-erythritol 4-phosphate  cytidylyltransferase,SAUSA300_0245,B,9
NE102,1,B11,,arginine/ornithine antiporter,SAUSA300_2568,B,11
NE103,1,B13,,ATP phosphoribosyltransferase hisG,SAUSA300_2612,B,13
NE104,1,B15,,putative lipase/esterase,SAUSA300_0641,B,15
NE105,1,B17,,"glycosyl transferase, group 1 family protein",SAUSA300_0550,B,17
NE106,1,B19,,argininosuccinate lyase,SAUSA300_0863,B,19
NE107,1,B21,,putative ABC transporter protein EcsB,SAUSA300_1785,B,21
NE108,1,B23,,conserved hypothetical protein,SAUSA300_0700,B,23
NE109,1,D1,,OsmC/Ohr family protein,SAUSA300_1668,D,1
NE110,1,D3,,"transcriptional regulator, GntRfamily/aminotransferase, class I",SAUSA300_0110,D,3
NE111,1,D5,,putative surface protein,SAUSA300_0883,D,5
NE112,1,D7,,sucrose-specific PTS tranporter protein,SAUSA300_0194,D,7
NE113,1,D9,,conserved hypothetical protein,SAUSA300_1041,D,9
NE114,1,D11,adhE,"alcohol dehydrogenase, iron-containing",SAUSA300_0151,D,11
NE115,1,D13,,"peptidase, M20/M25/M40 family",SAUSA300_0105,D,13
NE116,1,D15,,putative sensor histidine kinase,SAUSA300_1219,D,15
NE117,1,D17,,"cytochrome D ubiquinol oxidase, subunit I",SAUSA300_0986,D,17
NE118,1,D19,,nitroreductase family protein,SAUSA300_1986,D,19
NE119,1,D21,,non-ribosomal peptide synthetase,SAUSA300_0181,D,21
NE120,1,D23,,putative membrane protein,SAUSA300_0341,D,23
NE121,1,F1,,conserved hypothetical protein,SAUSA300_0207,F,1
NE122,1,F3,,"alcohol dehydrogenase, zinc-containing",SAUSA300_0055,F,3
NE123,1,F5,,cobalt transport family protein,SAUSA300_0977,F,5
NE124,1,F7,,metallo-beta-lactamase family protein,SAUSA300_0044,F,7
NE125,1,F9,,2-C-methyl-D-erythritol 4-phosphate  cytidylyltransferase,SAUSA300_0246,F,9
NE126,1,F11,,para-nitrobenzyl esterase,SAUSA300_2396,F,11
NE127,1,F13,,conserved hypothetical protein,SAUSA300_0656,F,13
NE128,1,F15,,glyoxylase family protein,SAUSA300_2458,F,15
NE129,1,F17,,DNA internalization-related competence proteinComEC/Rec2,SAUSA300_1547,F,17
NE130,1,F19,,conserved hypothetical protein,SAUSA300_1560,F,19
NE131,1,F21,,phiSLT ORF 77-like protein,SAUSA300_1415,F,21
NE132,1,F23,,putative transcriptional regulator,SAUSA300_2640,F,23
NE133,1,H1,,Methyltransferase,SAUSA300_0464,H,1
NE134,1,H3,,arginase,SAUSA300_2114,H,3
NE135,1,H5,cap5B,capsular polysaccharide biosynthesis protein Cap5B,SAUSA300_0153,H,5
NE136,1,H7,,RNA methyltransferase,SAUSA300_1805,H,7
NE137,1,H9,,conserved hypothetical protein,SAUSA300_0168,H,9
NE138,1,H11,,putative membrane protein,SAUSA300_0275,H,11
NE139,1,H13,,"ABC transporter, ATP-binding/permease protein",SAUSA300_2374,H,13
NE140,1,H15,,conserved hypothetical protein,SAUSA300_1440,H,15
NE141,1,H17,gidB,glucose-inhibited division protein B,SAUSA300_2645,H,17
NE142,1,H19,,amino acid carrier protein,SAUSA300_1252,H,19
NE143,1,H21,,conserved hypothetical protein,SAUSA300_1301,H,21
NE144,1,H23,,putative tetracycline resistance protein,SAUSA300_0139,H,23
NE145,1,J1,uvrA,"excinuclease ABC, A subunit",SAUSA300_0742,J,1
NE146,1,J3,,"iron compound ABC transporter, permease",SAUSA300_0718,J,3
NE147,1,J5,,sensor histidine kinase,SAUSA300_0254,J,5
NE148,1,J7,,essC protein,SAUSA300_0283,J,7
NE149,1,J9,rho,transcription termination factor Rho,SAUSA300_2075,J,9
NE150,1,J11,,conserved hypothetical protein,SAUSA300_0097,J,11
NE151,1,J13,,phi77 ORF109-like protein,SAUSA300_1928,J,13
NE152,1,J15,topB,DNA topoisomerase III,SAUSA300_2208,J,15
NE153,1,J17,,"amino acid ABC transporter, ATP-binding protein",SAUSA300_1807,J,17
NE154,1,J19,,putative membrane protein,SAUSA300_2385,J,19
NE155,1,J21,,conserved hypothetical protein,SAUSA300_0779,J,21
NE156,1,J23,,putative membrane protein,SAUSA300_0351,J,23
NE157,1,L1,,putative membrane protein,SAUSA300_0678,L,1
NE158,1,L3,,conserved hypothetical protein,SAUSA300_2138,L,3
NE159,1,L5,,conserved hypothetical protein,SAUSA300_0935,L,5
NE160,1,L7,bioB,biotin synthase,SAUSA300_2371,L,7
NE161,1,L9,,conserved hypothetical protein,SAUSA300_0812,L,9
NE162,1,L11,,putative substrate--CoA ligase,SAUSA300_0559,L,11
NE163,1,L13,aur,zinc metalloproteinase aureolysin,SAUSA300_2572,L,13
NE164,1,L15,,"ribosomal large subunit pseudouridine synthase, RluD subfamily",SAUSA300_1800,L,15
NE165,1,L17,,staphylococcal accessory regulator,SAUSA300_0114,L,17
NE166,1,L19,,putative membrane protein,SAUSA300_0230,L,19
NE167,1,L21,,"phi77 ORF015-like protein, putative protease / phage portal protein",SAUSA300_1939,L,21
NE168,1,L23,opp-2B,"tide ABC transporter, permease protein / oligopeptide permease, channel-forming pro",SAUSA300_1276,L,23
NE169,1,N1,cap5P,capsular polysaccharide biosynthesis protein Cap5P,SAUSA300_0167,N,1
NE170,1,N3,,putative acetyltransferase,SAUSA300_0745,N,3
NE171,1,N5,,"phi77 ORF109-like protein / phi77 ORF002-like protein, phage minor structural protein",SAUSA300_1927,N,5
NE172,1,N7,ptsG,"PTS system, glucose-specific IIBC component domain protein",SAUSA300_0191,N,7
NE173,1,N9,,putative comf operon protein 1,SAUSA300_0734,N,9
NE174,1,N11,trpC,N-(5'phosphoribosyl)anthranilate isomerase,SAUSA300_1265,N,11
NE175,1,N13,,"glycosyl transferase, group 1 family protein",SAUSA300_0132,N,13
NE176,1,N15,,anion transporter family protein,SAUSA300_0676,N,15
NE177,1,N17,,putative membrane protein,SAUSA300_2448,N,17
NE178,1,N19,,isopropylmalate synthase-related protein,SAUSA300_0879,N,19
NE179,1,N21,,multidrug resistance protein,SAUSA300_2360,N,21
NE180,1,N23,,putative lipoprotein,SAUSA300_2403,N,23
NE181,1,P1,,conserved hypothetical phage protein,SAUSA300_1936,P,1
NE182,1,P3,,conserved hypothetical protein,SAUSA300_1802,P,3
NE183,1,P5,,glycerate dehydrogenase-like protein,SAUSA300_2254,P,5
NE184,1,P7,,conserved hypothetical protein,SAUSA300_1533,P,7
NE185,1,P9,,"siderophore biosynthesis protein, IucA/IucC family",SAUSA300_0122,P,9
NE186,1,P11,fnbA,fibronectin binding protein A,SAUSA300_2441,P,11
NE187,1,P13,,phosphate transporter family protein,SAUSA300_0650,P,13
NE188,1,P15,mfd,transcription-repair coupling factor,SAUSA300_0481,P,15
NE189,1,P17,,O-methyltransferase family protein,SAUSA300_1571,P,17
NE190,1,P19,,staphylococcal tandem lipoprotein,SAUSA300_2428,P,19
NE191,1,P21,,methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,SAUSA300_0965,P,21
NE192,1,P23,,transporter gate domain protein,SAUSA300_2520,P,23
NE193,1,A2,,putative exotoxin 1,SAUSA300_1059,A,2
NE194,1,A4,,flavodoxin family protein,SAUSA300_0206,A,4
NE195,1,A6,pepF,oligoendopeptidase F,SAUSA300_1278,A,6
NE196,1,A8,,conserved hypothetical protein,SAUSA300_0466,A,8
NE197,1,A10,,amino acid permease,SAUSA300_2383,A,10
NE198,1,A12,ald,alanine dehydrogenase,SAUSA300_1655,A,12
NE199,1,A14,,cation efflux family protein,SAUSA300_2099,A,14
NE200,1,A16,,"iron compound ABC transporter, permease protein",SAUSA300_2134,A,16
NE201,1,A18,,"phiSLT ORF401-like protein, integrase",SAUSA300_1438,A,18
NE202,1,A20,,conserved hypothetical protein,SAUSA300_1902,A,20
NE203,1,A22,,conserved hypothetical protein,SAUSA300_0661,A,22
NE204,1,A24,,"hydrolase, alpha/beta hydrolase fold family",SAUSA300_1194,A,24
NE205,1,C2,,conserved hypothetical protein,SAUSA300_0732,C,2
NE206,1,C4,,amino acid permease family protein,SAUSA300_2538,C,4
NE207,1,C6,,putative membrane protein,SAUSA300_1864,C,6
NE208,1,C8,,conserved hypothetical protein,SAUSA300_0880,C,8
NE209,1,C10,,phiPVL ORF41-like protein,SAUSA300_1961,C,10
NE210,1,C12,,staphylococcal accessory regulator,SAUSA300_2247,C,12
NE211,1,C14,,amino acid permease,SAUSA300_1329,C,14
NE212,1,C16,,putative lysophospholipase,SAUSA300_1710,C,16
NE213,1,C18,glyA,serine hydroxymethyltransferase,SAUSA300_2067,C,18
NE214,1,C20,,"siderophore biosynthesis protein, IucC family""",SAUSA300_0123,C,20
NE215,1,C22,,putative lipoprotein,SAUSA300_0203,C,22
NE216,1,C24,,"dihydroxyacetone kinase, DhaK subunit",SAUSA300_0636,C,24
NE217,1,E2,pknB,protein kinase,SAUSA300_1113,E,2
NE218,1,E4,,sensor histidine kinase family protein,SAUSA300_0218,E,4
NE219,1,E6,,conserved hypothetical protein,SAUSA300_0579,E,6
NE220,1,E8,,conserved hypothetical protein,SAUSA300_0595,E,8
NE221,1,E10,,conserved hypothetical protein,SAUSA300_0046,E,10
NE222,1,E12,,"aminotransferase, class V",SAUSA300_1662,E,12
NE223,1,E14,,tRNA pseudouridine synthase A,SAUSA300_2173,E,14
NE224,1,E16,,conserved hypothetical protein,SAUSA300_0192,E,16
NE225,1,E18,,NADH-dependent FMN reductase,SAUSA300_0340,E,18
NE226,1,E20,amt,ammonium transporter,SAUSA300_1996,E,20
NE227,1,E22,,"peptide ABC transporter, peptide-bindingprotein",SAUSA300_0073,E,22
NE228,1,E24,,"ABC transporter, permease protein",SAUSA300_2357,E,24
NE229,1,G2,,conserved hypothetical protein,SAUSA300_1119,G,2
NE230,1,G4,,conserved hypothetical protein,SAUSA300_1071,G,4
NE231,1,G6,,sodium dependent transporter,SAUSA300_0432,G,6
NE232,1,G8,,pyridoxal-dependent decarboxylase,SAUSA300_0125,G,8
NE233,1,G10,glpD,glycerol-3-phosphate dehydrogenase,SAUSA300_1193,G,10
NE234,1,G12,cap5I,capsular polysaccharide biosynthesis proteinCap5I,SAUSA300_0160,G,12
NE235,1,G14,,conserved hypothetical protein,SAUSA300_0847,G,14
NE236,1,G16,,conserved hypothetical protein,SAUSA300_0428,G,16
NE237,1,G18,,conserved hypothetical protein,SAUSA300_1054,G,18
NE238,1,G20,,sulfite reductase flavoprotein,SAUSA300_2554,G,20
NE239,1,G22,putA,proline dehydrogenase,SAUSA300_1711,G,22
NE240,1,G24,tcaB,teicoplanin resistance associated membrane protein TcaB protein,SAUSA300_2301,G,24
NE241,1,I2,,"oxidoreductase, aldo/keto reductase family",SAUSA300_0674,I,2
NE242,1,I4,dprA,DNA protecting protein DprA,SAUSA300_1142,I,4
NE243,1,I6,polA,"phage related DNA polymerase, family A",SAUSA300_1423,I,6
NE244,1,I8,,conserved hypothetical phage protein,SAUSA300_1932,I,8
NE245,1,I10,epiE,lantibiotic epidermin immunity protein F,SAUSA300_1761,I,10
NE246,1,I12,,putative exonuclease,SAUSA300_1970,I,12
NE247,1,I14,,bacterioferritin comigratory protein,SAUSA300_1844,I,14
NE248,1,I16,,conserved hypothetical protein,SAUSA300_2626,I,16
NE249,1,I18,,glucose-inhibited division protein B,SAUSA300_2644,I,18
NE250,1,I20,,putative competence protein ComGB,SAUSA300_1503,I,20
NE251,1,I22,,polysaccharide biosynthesis protein,SAUSA300_0482,I,22
NE252,1,I24,,cation efflux family protein,SAUSA300_0171,I,24
NE253,1,K2,,HD domain protein,SAUSA300_2045,K,2
NE254,1,K4,ggt,gamma-glutamyltranspeptidase,SAUSA300_0204,K,4
NE255,1,K6,,putative membrane protein,SAUSA300_0876,K,6
NE256,1,K8,,putative pyridoxal phosphate-dependent acyltransferase,SAUSA300_0535,K,8
NE257,1,K10,,conserved hypothetical protein,SAUSA300_1623,K,10
NE258,1,K12,cls,cardiolipin synthetase,SAUSA300_2044,K,12
NE259,1,K14,pnpA,polyribopolyribonucleotide nucleotidyltransferase,SAUSA300_1167,K,14
NE260,1,K16,fadD,acyl-CoA dehydrogenase FadD,SAUSA300_0227,K,16
NE261,1,K18,,conserved hypothetical protein,SAUSA300_1898,K,18
NE262,1,K20,,"DNA-binding response regulator, LuxR family",SAUSA300_1220,K,20
NE263,1,K22,,putative acyl-CoA transferase FadX,SAUSA300_0229,K,22
NE264,1,K24,lipA,lipoic acid synthetase,SAUSA300_0829,K,24
NE265,1,M2,,CBS domain protein,SAUSA300_1651,M,2
NE266,1,M4,,lipoate-protein ligase A family protein,SAUSA300_0328,M,4
NE267,1,M6,sgtA,probable transglycosylase,SAUSA300_1676,M,6
NE268,1,M8,,conserved hypothetical protein,SAUSA300_2418,M,8
NE269,1,M10,,"putative iron compound ABC transporter, ATP-binding protein",SAUSA300_0720,M,10
NE270,1,M12,acuC,acetoin utilization protein AcuC,SAUSA300_1681,M,12
NE271,1,M14,opuCd,glycine betaine/carnitine/choline transport system permease,SAUSA300_2390,M,14
NE272,1,M16,,conserved hypothetical protein,SAUSA300_2311,M,16
NE273,1,M18,,putative transporter,SAUSA300_2449,M,18
NE274,1,M20,,conserved hypothetical protein,SAUSA300_1867,M,20
NE275,1,M22,,transferrin receptor,SAUSA300_0721,M,22
NE276,1,M24,,conserved hypothetical protein,SAUSA300_0293,M,24
NE277,1,O2,tdk,thymidine kinase,SAUSA300_2073,O,2
NE278,1,O4,,putative cobalamin synthesis protein,SAUSA300_0424,O,4
NE279,1,O6,,putative deoxyribodipyrimidine photolyase,SAUSA300_0677,O,6
NE280,1,O8,pbuX,xanthine permease,SAUSA300_0387,O,8
NE281,1,O10,,"transcriptional regulator, MarR family",SAUSA300_2452,O,10
NE282,1,O12,,5' nucleotidase family protein,SAUSA300_0925,O,12
NE283,1,O14,,xanthine/uracil permease family protein,SAUSA300_2207,O,14
NE284,1,O16,gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",SAUSA300_2362,O,16
NE285,1,O18,tcaA,teicoplanin resistance associated membrane protein TcaA protein,SAUSA300_2302,O,18
NE286,1,O20,,immunoglobulin G binding protein A precursor,SAUSA300_0113,O,20
NE287,1,O22,,conserved hypothetical protein,SAUSA300_1744,O,22
NE288,1,O24,,fructose-bisphosphate aldolase class-I,SAUSA300_2540,O,24
NE289,1,B2,,conserved hypothetical protein,SAUSA300_0215,B,2
NE290,1,B4,,transferrin receptor,SAUSA300_0721,B,4
NE291,1,B6,,conserved hypothetical protein,SAUSA300_2328,B,6
NE292,1,B8,ilvE,branched-chain amino acid aminotransferase,SAUSA300_0539,B,8
NE293,1,B10,,"ABC transporter, ATP-binding protein",SAUSA300_1285,B,10
NE294,1,B12,,signal transduction protein TRAP,SAUSA300_1784,B,12
NE295,1,B14,,5'-nucleotidase family protein,SAUSA300_0025,B,14
NE296,1,B16,,staphylococcal accessory protein X,SAUSA300_0654,B,16
NE297,1,B18,,cyclic nucleotide-binding domain protein,SAUSA300_0063,B,18
NE298,1,B20,,putative membrane protein,SAUSA300_2398,B,20
NE299,1,B22,,putative membrane protein,SAUSA300_2304,B,22
NE300,1,B24,,conserved hypothetical protein TIGR00370,SAUSA300_0701,B,24
NE301,1,D2,,"acetyltransferase, GNAT family",SAUSA300_0643,D,2
NE302,1,D4,Cap5A,capsular polysaccharide biosynthesis protein Cap5A,SAUSA300_0152,D,4
NE303,1,D6,hemL,"glutamate-1-semialdehyde-2,1-aminomutase",SAUSA300_1614,D,6
NE304,1,D8,trpA,"tryptophan synthase, alpha subunit",SAUSA300_1268,D,8
NE305,1,D10,,conserved hypothetical protein,SAUSA300_0814,D,10
NE306,1,D12,,proline dipeptidase,SAUSA300_1491,D,12
NE307,1,D14,glpP,glycerol uptake operon antiterminator regulatory protein,SAUSA300_1190,D,14
NE308,1,D16,,"transporter, monovalent cation:proton antiporter-2 (CPA2) family protein",SAUSA300_0911,D,16
NE309,1,D18,,putative enterotoxin type A,SAUSA300_1559,D,18
NE310,1,D20,,"tryptophan synthase, beta subunit",SAUSA300_1267,D,20
NE311,1,D22,,"conserved hypothetical protein""",SAUSA300_2097,D,22
NE312,1,D24,,"oxidoreductase, Gfo/Idh/MocA family",SAUSA300_0212,D,24
NE313,1,F2,,DedA family protein,SAUSA300_2450,F,2
NE314,1,F4,,deoxyribose-phosphate aldolase,SAUSA300_0140,F,4
NE315,1,F6,,putative membrane protein,SAUSA300_0133,F,6
NE316,1,F8,,conserved hypothetical protein,SAUSA300_1858,F,8
NE317,1,F10,,putative membrane protein,SAUSA300_0881,F,10
NE318,1,F12,,conserved hypothetical protein,SAUSA300_1236,F,12
NE319,1,F14,,conserved hypothetical protein,SAUSA300_1701,F,14
NE320,1,F16,,conserved hypothetical protein,SAUSA300_0748,F,16
NE321,1,F18,,aldehyde dehydrogenase,SAUSA300_0170,F,18
NE322,1,F20,,putative competence protein ComYC,SAUSA300_1500,F,20
NE323,1,F22,,conserved hypothetical protein,SAUSA300_0362,F,22
NE324,1,F24,,regulatory protein RecX,SAUSA300_1854,F,24
NE325,1,H2,rrfA,5S ribosomal RNA,SAUSA300_0457,H,2
NE326,1,H4,,"respiratory nitrate reductase, alpha subunit",SAUSA300_2343,H,4
NE327,1,H6,int,integrase,SAUSA300_1972,H,6
NE328,1,H8,,oxygen-independent coproporphyrinogen III oxidase,SAUSA300_1543,H,8
NE329,1,H10,mobA,molybdopterin-guanine dinucleotide biosynthesis protein A,SAUSA300_2220,H,10
NE330,1,H12,,"conserved hypothetical protein""",SAUSA300_0039,H,12
NE331,1,H14,rexA,exonuclease RexA,SAUSA300_0870,H,14
NE332,1,H16,,iron transport associated domain protein,SAUSA300_1029,H,16
NE333,1,H18,,"putative maltose ABC transporter,maltose-binding protein",SAUSA300_0209,H,18
NE334,1,H20,,Hyaluronate lyase precursor,SAUSA300_2161,H,20
NE335,1,H22,,conserved hypothetical protein,SAUSA300_0039,H,22
NE336,1,H24,,NAD-dependent deacetylase,SAUSA300_2157,H,24
NE337,1,J2,,integral membrane domain protein,SAUSA300_0109,J,2
NE338,1,J4,lip,triacylglycerol lipase precursor,SAUSA300_2603,J,4
NE339,1,J6,,LysE/YggA family protein,SAUSA300_0784,J,6
NE340,1,J8,ilvA,threonine dehydratase,SAUSA300_2014,J,8
NE341,1,J10,,"ATPase, AAA family",SAUSA300_1584,J,10
NE342,1,J12,hfq,"RNA chaperone, host factor-1 protein",SAUSA300_1196,J,12
NE343,1,J14,,conserved hypothetical protein,SAUSA300_2613,J,14
NE344,1,J16,,"ABC transporter, ATP-binding protein",SAUSA300_2103,J,16
NE345,1,J18,,"membrane protein""",SAUSA300_0934,J,18
NE346,1,J20,,putative DnaQ family exonuclease/DinG family helicase,SAUSA300_1346,J,20
NE347,1,J22,,"acetyltransferase, GNAT family",SAUSA300_0662,J,22
NE348,1,J24,ftsK,DNA translocase FtsK,SAUSA300_1169,J,24
NE349,1,L2,,conserved hypothetical protein,SAUSA300_0081,L,2
NE350,1,L4,ychF,GTP-binding protein YchF,SAUSA300_0364,L,4
NE351,1,L6,ddh,D-lactate dehydrogenase,SAUSA300_2463,L,6
NE352,1,L8,rsgA,ribosome small subunit-dependent GTPase A,SAUSA300_1114,L,8
NE353,1,L10,,bifunctional purine biosynthesis protein,SAUSA300_0975,L,10
NE354,1,L12,,"transcriptional regulator, gntR family protein",SAUSA300_0503,L,12
NE355,1,L14,,"transcriptional regulator, TetR family",SAUSA300_2515,L,14
NE356,1,L16,pyrE,orotate phosphoribosyltransferase,SAUSA300_1098,L,16
NE357,1,L18,,Na/Pi cotransporter family protein,SAUSA300_0107,L,18
NE358,1,L20,,conserved hypothetical protein,SAUSA300_0294,L,20
NE359,1,L22,panE,2-dehydropantoate 2-reductase,SAUSA300_2388,L,22
NE360,1,L24,,"phi77 ORF004-like protein, putative phage tail component",SAUSA300_1929,L,24
NE361,1,N2,,conserved hypothetical protein,SAUSA300_2068,N,2
